Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
172791,616935772,G,25.5727,13.089,4.7014,-21.4599,13.9078,-1.21839,0.344834,1,T,35.2215,16.6684,4.72302,-30.666,17.3246,-1.33582,0.276114,-1
172791,616906601,G,8.86931,-1.51079,-0.88917,8.6937,1.75303,2.30441,-2.60964,1,G,9.93872,0.949214,-1.79326,9.72883,2.02899,2.27141,-1.08397,-1
172791,616694587,G,12.2979,-1.79774,1.45631,-12.0778,2.31359,-2.35477,2.46074,-1,G,9.92399,1.22202,1.42274,-9.74458,1.87551,-2.35011,0.861148,1
172791,617081371,G,17.3545,7.01981,-7.69409,-13.8813,10.4152,-1.09829,-0.831192,-1,G,20.5932,9.96807,-9.86853,-15.0771,14.0268,-0.933341,-0.78038,1
172791,616515182,G,14.1861,11.0097,-8.9122,0.770899,14.1647,0.054397,-0.6805,1,G,16.8163,11.8274,-11.6142,2.82836,15.2417,0.169389,-0.777435,-1
172791,616787286,G,14.2017,2.45774,-1.28854,13.9276,2.77503,2.31614,-0.482881,1,G,10.0313,-0.847359,-1.75189,9.84018,1.94606,2.32345,-2.02131,1
172791,616770970,G,28.5785,2.5047,6.95999,-27.6044,7.39696,-2.02754,1.22536,1,G,9.97638,2.66198,2.02865,-9.39763,3.34687,-1.75588,0.651189,-1
172791,616503180,G,115.362,-52.1839,62.06,82.0594,81.0839,0.889855,2.26996,-1,T,23.4278,-11.254,11.4216,17.0805,16.0345,0.926757,2.3488,1
172791,616332675,G,5.4501,-0.314627,-3.2673,-4.3495,3.28241,-1.09366,-1.6668,1,T,3.99662,-0.570874,-0.686075,-3.89426,0.892522,-2.17923,-2.2648,1
172791,616420651,G,8.52145,0.220537,-4.53733,7.20888,4.54269,1.24203,-1.52223,1,G,8.86766,3.50157,-3.49582,7.35815,4.94791,1.1876,-0.784577,-1
